;N,Name,HBW,HBO,NHB
1,CIVTT,-0.044548538420617796,-0.03305555301752156,-0.04321871479751102
2,CSWAIT,0,0,0
3,CLWAIT,0,0,0
4,CXWAIT,0,0,0
5,CCOST,-0.001759390724668366,-0.0015367190473949792,-0.0016573746479107607
6,CDRIVE,0,0,0
7,CTERML,0,0,0
8,CWALK,0,0,0
9,CWALK1,-0.07754146200453266,-0.057205576985579557,-0.08793172883991993
10,CWALK2,-0.14172769801377275,-0.0951250128020112,-0.11246871106892858
11,CBIKE1,0,0,0
12,CBIKE2,0,0,0
13,DWalkBIKE,1,1,1
14,NC1,1,1,1
15,NC2,1,1,1
16,NC3,1,1,1
17,CBD,0,0,0
18,NXFER,0,0,0
19,AUTOCOST,17.982942384169476,16.43194715255285,18.553168739762558
20,SHAREFAC,0,0,0
