NVAR,VAR,HBW,HBO,NHB
1,HH,0,1.1617429659913259,0.19904916132709785
2,I(OTH_EMP + OFF_EMP),0,0.5864735958154269,0.5393567202531427
3,OFF_EMP,0.40506882159349333,0.4610548395853121,0.3091400732488797
4,OTH_EMP,1.2876394580521278,0.4380753273561776,0.3361168158647074
5,RET_EMP,0.6750253188016415,4.064829771999546,4.369502149794167
6,DISTCAP,70,40,40
7,CLSUM,1,1,1
8,CDIST,-0.0801,-0.1728,-0.1157
0,CDISTSQ,0.0026,0.0034,0.0035
10,CDISTCUB,-9e-6,-1.1e-5,-1.33e-5
11,CLNDIST,0,0,0
12,KINTRAZ,0,0,0
13,KDIST01,0,0,0
14,KDIST12,0,0,0
15,KDIST23,0,0,0
16,KDIST34,0,0,0
17,KDIST45,0,0,0
18,KDIST56,0,0,0
19,KDIST67,0,0,0
